Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
3,1,2011,7,0.6674937965260546,0.6000000000000001,2,3,0.0,25,0,8,0.43333333333333335,0.4285714285714285,1.0,46135
3,0,2011,7,0.5806451612903226,0.6000000000000001,2,3,0.0,50,0,6,0.5,0.4285714285714285,1.0,40650
3,0,2011,7,0.5806451612903226,0.6000000000000001,2,3,0.0,47,0,8,0.5,0.47619047619047616,1.0,36350
3,0,2011,7,0.4069478908188585,0.6000000000000001,2,3,0.0,50,0,8,0.5,0.38095238095238093,1.0,29450
3,0,2011,7,0.4069478908188585,0.6000000000000001,2,3,0.0,46,0,6,0.5,0.38095238095238093,1.0,34500
3,0,2012,7,0.4069478908188585,0.6000000000000001,2,3,0.0,50,0,8,0.5,0.38095238095238093,1.0,31200
3,0,2012,7,0.5806451612903226,0.6000000000000001,2,3,0.0,50,0,6,0.43333333333333335,0.33333333333333337,1.0,44100
3,0,2012,7,0.5806451612903226,0.6000000000000001,2,3,0.0,47,0,8,0.5,0.47619047619047616,1.0,39300
3,0,2012,7,0.4069478908188585,0.6000000000000001,2,3,0.0,46,0,6,0.5,0.38095238095238093,1.0,36900
3,0,2013,7,0.4069478908188585,0.6000000000000001,2,3,0.0,46,0,6,0.4666666666666667,0.38095238095238093,1.0,37200
3,0,2013,7,0.5806451612903226,0.6000000000000001,2,3,0.0,47,0,8,0.5,0.47619047619047616,1.0,39600
3,0,2013,7,0.4069478908188585,0.6000000000000001,2,3,0.0,50,0,8,0.5,0.4285714285714285,1.0,31500
3,0,2013,7,0.5806451612903226,0.6000000000000001,2,3,0.0,50,0,6,0.5,0.4285714285714285,1.0,44400
3,0,2013,7,0.4069478908188585,0.6000000000000001,2,3,0.0,46,0,6,0.5,0.4285714285714285,1.0,37200
3,0,2013,7,0.630272952853598,0.6000000000000001,2,3,0.0,47,0,6,0.4,0.38095238095238093,1.0,48250
3,0,2013,7,0.630272952853598,0.6000000000000001,2,3,0.0,47,0,8,0.5,0.47619047619047616,1.0,43550
2,2,1994,8,0.2630272952853598,0.6000000000000001,1,2,1.0,46,2,15,0.2666666666666666,0.2857142857142857,0.7917843388960206,2000
2,2,1994,8,0.2630272952853598,0.6000000000000001,2,0,1.0,46,2,14,0.29999999999999993,0.2857142857142857,0.7917843388960206,2000
2,2,1994,8,0.2630272952853598,0.6000000000000001,2,2,1.0,46,2,14,0.29999999999999993,0.33333333333333337,0.7917843388960206,2000
2,2,1994,8,0.2630272952853598,0.6000000000000001,1,2,1.0,46,2,14,0.29999999999999993,0.2857142857142857,0.7917843388960206,2000
2,2,1994,8,0.2630272952853598,0.6000000000000001,1,0,1.0,46,2,15,0.2666666666666666,0.2857142857142857,0.7917843388960206,2000
9,3,2017,6,0.23325062034739452,0.19999999999999996,2,3,0.0,52,0,6,0.7333333333333334,0.761904761904762,0.20487804878048782,27495
9,3,2017,6,0.23325062034739452,0.19999999999999996,2,3,0.0,52,0,6,0.7333333333333334,0.761904761904762,0.20487804878048782,24995
9,3,2017,6,0.23325062034739452,0.19999999999999996,2,3,0.0,52,0,6,0.7333333333333334,0.761904761904762,0.20487804878048782,28195
3,5,2016,7,0.43176178660049624,0.19999999999999996,1,3,0.0,50,0,8,0.7333333333333334,0.619047619047619,1.0,32850
3,5,2016,7,0.43176178660049624,0.19999999999999996,1,3,0.0,46,0,6,0.7,0.619047619047619,1.0,38650
3,5,2016,7,0.630272952853598,0.6000000000000001,1,3,0.0,25,0,6,0.5999999999999999,0.47619047619047616,1.0,48750
3,5,2016,7,0.43176178660049624,0.19999999999999996,1,0,0.0,50,0,8,0.7333333333333334,0.619047619047619,1.0,34850
3,5,2016,7,0.43176178660049624,0.19999999999999996,1,0,0.0,46,0,6,0.7,0.5714285714285713,1.0,40650
3,5,2016,7,0.630272952853598,0.6000000000000001,1,3,0.0,25,0,8,0.5999999999999999,0.47619047619047616,1.0,44150
3,5,2016,7,0.43176178660049624,0.19999999999999996,2,3,0.0,50,0,8,0.7,0.5714285714285713,1.0,32850
3,5,2016,7,0.630272952853598,0.6000000000000001,1,0,0.0,25,0,8,0.5666666666666667,0.47619047619047616,1.0,46150
3,5,2016,7,0.630272952853598,0.6000000000000001,1,3,0.0,25,0,6,0.5666666666666667,0.47619047619047616,1.0,50750
3,5,2017,6,0.6674937965260546,0.6000000000000001,1,0,0.0,25,0,8,0.5999999999999999,0.5238095238095238,1.0,46450
3,5,2017,6,0.6674937965260546,0.6000000000000001,1,3,0.0,25,0,6,0.6333333333333333,0.5238095238095238,1.0,49050
3,5,2017,6,0.6674937965260546,0.6000000000000001,1,0,0.0,25,0,6,0.6333333333333333,0.5238095238095238,1.0,51050
3,5,2017,6,0.6674937965260546,0.6000000000000001,1,3,0.0,25,0,8,0.6333333333333333,0.5238095238095238,1.0,44450
3,5,2017,6,0.4516129032258065,0.19999999999999996,1,3,0.0,50,0,6,0.7,0.619047619047619,1.0,38950
3,5,2017,6,0.4516129032258065,0.19999999999999996,1,3,0.0,50,0,8,0.7333333333333334,0.6666666666666666,1.0,33150
3,5,2017,6,0.4516129032258065,0.19999999999999996,1,0,0.0,50,0,8,0.6666666666666667,0.6666666666666666,1.0,35150
